precinct,lat,lng,station,marz,community,source,fetched_at
1/1,40.209585,44.566617,"Թիվ 51 մ/մանկապարտեզ Ավան, 6 փ. 52/1",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.201Z
1/2,40.209585,44.566617,"Թիվ 51 մ/մանկապարտեզ Ավան, 6 փ. 52/1",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/3,40.21050916,44.56705391,"Թիվ 87 դպրոց Ավան, Խուդյակով փ. 44",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/4,40.21051099,44.5670898,"Թիվ 87 դպրոց Ավան, Խուդյակով փ. 44",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/5,40.215869,44.564308,"Թիվ 104 դպրոց Ավան, Աճառյան 5",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/6,40.21840453,44.56441943,"Օհանյանի անվան հիմն. դպրոց Ավան, Աճառյան փկղ. 15/1",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/7,40.22205469,44.57004745,"Թիվ 56 մ/մանկապարտեզ Ավան Առինջ, 1 մ/շ, 1/14",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/8,40.22207745,44.57002701,"Թիվ 56 մ/մանկապարտեզ Ավան Առինջ, 1 մ/շ, 1/14",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/9,40.2260901,44.57176292,"Թիվ 180 դպրոց Ավան Առինջ թաղ., 2 մ/շ",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/10,40.222326,44.57430047,Թիվ 55 մ/մանկապարտեզ Ավան Առինջ թաղ. 2մ/շ 1/6,Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/11,40.21204786,44.56849081,"Նախկին 7մ/մ, Ավան-Առինջ թաղ. 1մ/շ 3/14",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/12,40.219483,44.58091,Ավանի շախմատի մանկապատանեկան մարզադպրոց Նարեկացի թաղ. 38,Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/13,40.22014617,44.57787559,"Ավանի մշակույթի տուն, Ավան, Բաբաջանյան 18/13",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/14,40.218939,44.57482,"Գ. Բուդաղյանի անվան արվեստի դպրոց, Ալմա-Աթայի 3",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/15,40.218678,44.574376,"«Երևանի հ.170 ավագ դպրոց» ՊՈԱԿ, Թումանյան թաղամաս 30",Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/16,40.21675427,44.57569599,Թիվ 52 մ/մանկապարտեզ Իսահակյան թաղ. 2/4,Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
1/17,40.217402,44.576338,Թիվ 171 դպրոց Իսահակյան թաղ.,Երևան,Ավան,elections.am/AccessibilityMap,2026-06-02T09:44:57.199Z
